t_sec,O11_muM,O12_muM,O21_muM,O23_muM,O32_muM,O33_muM,O34_muM,O42_muM,O44_muM,O45_muM,O53_muM,O54_muM,O56_muM,O64_muM,O65_muM,O66_muM,O75_muM,O77_muM,O86_muM,O87_muM,D11_muM,D12_muM,D21_muM,D23_muM,D32_muM,D33_muM,D34_muM,D42_muM,D44_muM,D45_muM,D53_muM,D54_muM,D56_muM,D64_muM,D65_muM,D66_muM,D75_muM,D77_muM,D86_muM,D87_muM
2.849618,-2.102789,-1.96506,-1.711649,-1.939361,-2.271377,-1.095772,-2.015088,-0.6973146,-1.004088,-1.603827,-3.011157,-1.622528,-2.91853,-2.25092,-1.947766,-2.409184,-1.484511,-1.045222,-3.975873,-1.938188,0.5872044,0.1456622,1.256424,0.9250804,0.3399774,1.064644,0.4469843,0.4991725,0.6508732,0.4416812,0.8767639,0.906997,0.4703462,0.4377226,0.6259923,1.052006,0.5134533,0.8305767,0.7987185,1.54254
2.977617,-2.15469,-2.009405,-1.805924,-2.018716,-2.382786,-1.202676,-2.133729,-0.7227641,-1.096763,-1.627979,-3.11731,-1.712189,-3.067375,-2.369254,-2.073756,-2.658263,-1.53327,-1.043563,-4.136405,-2.018724,0.5730114,0.1455273,1.259648,0.9243739,0.34115,1.067854,0.4322866,0.4967841,0.668847,0.4325515,0.8779723,0.9128505,0.468551,0.4262888,0.6387039,1.049291,0.5140308,0.8161407,0.8001747,1.547621
3.105616,-2.249838,-2.058818,-1.888575,-2.108191,-2.466389,-1.30566,-2.260231,-0.7621595,-1.158186,-1.676117,-3.239702,-1.80808,-3.226868,-2.493155,-2.159961,-2.870888,-1.585336,-1.138524,-4.302597,-2.111132,0.5738311,0.1483803,1.2613,0.9298977,0.3369256,1.069052,0.4315384,0.4822257,0.6545583,0.4351137,0.8801248,0.9072871,0.4677185,0.416582,0.6380078,1.046729,0.5161531,0.8271746,0.8065729,1.551965
3.233615,-2.316152,-2.108124,-1.977449,-2.191786,-2.588104,-1.431736,-2.409057,-0.8165779,-1.22851,-1.723978,-3.363918,-1.915011,-3.411552,-2.621855,-2.264705,-3.119077,-1.639633,-1.157862,-4.417537,-2.187012,0.5629071,0.1457505,1.261911,0.933058,0.3417194,1.072293,0.4352728,0.4870284,0.6258989,0.4278965,0.8788342,0.8977642,0.4691814,0.416326,0.6384521,1.051226,0.5167376,0.81796,0.8093634,1.545583
3.361614,-2.384549,-2.14336,-1.974364,-2.160239,-2.434001,-1.282287,-2.190948,-0.7875189,-1.085819,-1.702493,-3.147517,-1.733503,-2.989351,-2.244145,-1.986068,-2.398345,-1.523711,-1.034044,-3.831691,-1.918587,0.5662359,0.1579777,1.247753,0.9365254,0.352832,1.073879,0.4421576,0.4808779,0.6443796,0.4421346,0.8854168,0.9042883,0.4813679,0.4368629,0.6329844,1.05904,0.5161615,0.8145857,0.8086346,1.535416
3.489614,-2.119125,-1.993492,-1.718117,-1.936558,-2.172765,-1.017926,-1.833021,-0.671782,-0.9671909,-1.59138,-2.860859,-1.501635,-2.650158,-1.968946,-1.770455,-1.925326,-1.422328,-0.9493067,-3.623277,-1.753238,0.571277,0.1492488,1.252576,0.9321522,0.3450786,1.07081,0.4449016,0.4836924,0.6677094,0.4433413,0.8866395,0.9023273,0.4838032,0.4531988,0.6459199,1.060177,0.5115891,0.8251733,0.8046396,1.530218
3.617613,-2.010486,-1.903138,-1.598082,-1.846321,-2.112452,-0.9556474,-1.772795,-0.6294038,-0.8787771,-1.526986,-2.826,-1.47586,-2.628838,-1.994704,-1.803827,-1.991558,-1.414786,-0.936938,-3.6692,-1.78995,0.6048958,0.1513115,1.254974,0.9330864,0.3414509,1.069098,0.4325564,0.476508,0.6495523,0.4251523,0.8798991,0.9046348,0.4816096,0.4486906,0.6400819,1.045779,0.5091751,0.8191016,0.8014308,1.530733
3.745612,-2.016261,-1.897209,-1.628437,-1.862362,-2.170883,-0.9915755,-1.844097,-0.6491565,-0.8839116,-1.521077,-2.875738,-1.500267,-2.702251,-2.065858,-1.82224,-2.14435,-1.439619,-0.9783928,-3.775103,-1.822771,0.5764642,0.1602838,1.259614,0.9288265,0.350316,1.069121,0.4259653,0.4737158,0.6382082,0.4238058,0.8797472,0.8920943,0.4810242,0.4421549,0.6277266,1.035845,0.514176,0.8410856,0.7993823,1.524264
3.873611,-2.060024,-1.905515,-1.681648,-1.927332,-2.234111,-1.073343,-1.972676,-0.6859652,-0.984386,-1.576101,-2.962471,-1.559553,-2.839156,-2.198712,-1.948748,-2.390856,-1.484165,-0.9721973,-3.922891,-1.90299,0.5894808,0.1639332,1.259452,0.9315177,0.3380325,1.064023,0.41937,0.4664114,0.6455835,0.4399989,0.8762466,0.8767548,0.4769849,0.4323935,0.6343698,1.03535,0.51928,0.8162148,0.8007933,1.527919
4.00161,-2.154297,-1.95639,-1.773539,-2.007365,-2.349356,-1.185281,-2.108584,-0.7234765,-1.051421,-1.611567,-3.064828,-1.657343,-3.003028,-2.329313,-2.021938,-2.618911,-1.528086,-1.048541,-4.080656,-1.990877,0.5827089,0.159761,1.256008,0.9302139,0.3413562,1.064749,0.4186043,0.4788961,0.6589099,0.4433603,0.8779136,0.8807482,0.4773364,0.422496,0.6311076,1.02856,0.5179081,0.817147,0.8087007,1.53593
